Commit message,Class,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Refactor createOrUpdate method in MongoChannelStore to extract methods and make code more readable,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCBC 58: Refactoring HttpFuture and ViewFutureThis changeset refactors the get() method for both theHttpFuture and the ViewFuture to extract a common codepathinside and reduce duplication.Change Id: I719dad0636cf3f2b0419335fbbe477033c335392Reviewed on: http://review.couchbase.org/22353Reviewed by: Michael Wiederhold <mike@couchbase.com>Tested by: Michael Nitschinger <michael.nitschinger@couchbase.com>,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extract method,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extract generic octal formatting method to simplify code and eliminate array copiesChange leading padding to zeroes as that is more compatible (and required for Posix)git svn id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@760737 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0.166666667,0,0.166666667,0.025641026,0.176470588,0.025641026,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0
a few  extract method  refactorings to make code more readable still won t win a beauty contestgit svn id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@1156621 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.111111111,0,0,0,0,0,0.025641026,0,0.025641026,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0.333333333,0,0,0,0,0.115384615,0.320512821,0,0,0,0,0
Cut overall object instantiation in half by changing fileheader generation algorithm for a 10 15 percent performanceimprovement when archive contains lots of small files.Also extracted two private methods createLocalFileHeaderand createCentralFileHeader in ZipArchiveOutputStream.These may have some interesting additional usages in the near future.This is basically a tactical refactoring ; scatter/gather had awonderful performance in the scatter algorithm but spentan *equal* amount of time in the gather phasegit svn id: https://svn.apache.org/repos/asf/commons/proper/compress/trunk@1647787 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extract out the method that runs an arbitrary file of SQL statements so I can use it to create an actual upgrade path wiuth migration like things.git svn id: svn://svn.jbidwatcher.com/jbidwatcher/trunk@341 b1acfa68 eb39 11db b167 a3a8cd6b847e,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean up some overly complex code by extracting usefully named methods. parse is still super complex.,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extract out a method to localize responsibilities.,extract,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0.166666667,0,0.166666667,0.025641026,0.176470588,0.025641026,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0
extracted updateRepository() method to avoid copy/pastegit svn id: https://svn.apache.org/repos/asf/maven/archetype/trunk@986982 13f79535 47bb 0310 9956 ffa450edef68,extract,0,0,0.5,0.5,0.25,0,0.166666667,0,0,0,0,0,0,0,0.75,0.333333333,0,0.333333333,0,0.176470588,0,0,0,0.041666667,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0
Extract methods no PngPdfTransformerHelper E iniciando uma fluent interfacezinha para geracao de modulos,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avoid code duplication: extract a method,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avoid code duplication: extract a method,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0.025641026,0,0.025641026,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0
Extract error handling in a method,extract,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.025641026,0,0.025641026,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0
extracted method buildQueryURI() so that future QueryExecutor implementations can get the URI object and eventually change it before turning it into a String,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extract configureHttpParams() method so we can override it in the application,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0.001490313,0,0.00228833,0.007194245,0.003378378,0,0,0,0,0.003344482,0.002808989,0.006802721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0
* ContentExtractorTestBase.javacreateRecorder(String String) new method for creating test Recorder and specifying charsetcreateRecorder(String) deprecate (use default charset as before),extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tighten up javascript extraction based on real world analysis (addresses HER 1523)* UriUtils.javanew method isVeryLikelyUri() with tighter heuristic than isLikelyUri()* ExtractorJS.javause UriUtils.isVeryLikelyUri() and change order of operations to do fixup before call to isVeryLikelyUri() since it doesn t expect strings with javascript escaping and stuff* StringExtractorTestBase.javahandle test data with expected value null meaning no outlinks expected* ExtractorHTMLTest.javaavoid redundancy by using the extractor created in ContentExtractorTestBase.setUp()* ExtractorJSTest.javasome new tests,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simplify JnlpProtocolHandlerTest.Some of this is similar to the simplifications for NetworkLayerTest in e9c1af14. This test has also been hitting sporadic hangs / failures primarily on certain OSes etc. These mostly occur in preClose0() also. Similar to that test part of the solution here is to eliminate the repetition of the exact same test.As part of understanding and cleaning up this test I also made a major effort to remove other duplication. And to improve naming and clarity. The individual test methods were lengthy with lots of duplicated code making it hard to understand what they were doing. Indeed some of the tests didn t actually match their name / intention. I extracted out the commonality and tried to make it clearer the variation in each test.This test had continued testing all old versions of the JNLP protocol. There had been TODOs marked to remove them from this test. They ve been deprecated for a long time. Their implementations aren t quite behaving properly particularly when it comes to closing them down which causes contamination with testing the currently supported protocols. With Oracle deprecating JNLP entirely it s time to remove these protocols from this test.,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extract method and clean up code,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[refactor]: extract write and send method,extract,0.5,0.5,0,0,0.5,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0.076923077,0.176470588,0.076923077,0.1,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,0.012820513,0.012820513,0,0,0,0,0
[refactor]: extract writeNumberArray method,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[refactor]: extract method objToJsonObject and objToJsonArray,extract,0.5,0.5,0,0,0.5,0,0.5,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.076923077,0.176470588,0.076923077,0.1,0,0,0,0.3,0,0.031296572,0.042553191,0.038901602,0.057553957,0.030405405,0,0,0,0,0.030100334,0.033707865,0.068027211,0.009569378,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,0.012820513,0.012820513,0,0.054545455,0.054545455,0.052631579,0.076923077
[refactor]: extract create parser method,extract,0,0,0,0,0.125,0,0.166666667,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.025641026,0.058823529,0.025641026,0,0,0,0,0.1,0,0.022354694,0.042553191,0.025171625,0.014388489,0.030405405,0,0,0,0,0.010033445,0.016853933,0.027210884,0.009569378,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0
[refactor]: extract unwrap method,extract,0,0,0,0,0.25,0,0.166666667,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.102564103,0,0.102564103,0,0,0.125,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[refactor]: extract common method,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HV 363 extracted two methods,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minor refactoring.Shortened method in NewFolderWindow by extracting button creation code.Prevented null pointer when no mode is specified by defaulting to Mode.NORMAL.,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refactor the Main run. Extract a few methods out,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IsmAvatar Commit 1.6.0.1.2 (Alpha)Updated CustomFileFilter to handle files without extensions>Does not use a for loopFixed IndexButtonGroup.setValue for non cumulative values>Changed from MapTable to array (stable but non variable size)Updated SoundFrame>Load and Save buttons now load/save sound data (untested)>Layout GUI etc (merged filename label and value)>>addGap method added maybe extract to ResourceFrame?>Appended space to messages.properties SoundFrame.FILE valueUpdated LGM to display the working filename>Updated Listener>>Removed some Listener debugger code for JFileChooser (default folder)>Added Quadduc to credits in LGM>Upgraded MarkO from a hole to jerk : )git svn id: https://lateralgm.svn.sourceforge.net/svnroot/lateralgm@43 8f422083 7f27 0410 bc82 93e204be8cd2,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ResourceMenu opens at mouse position now* Components correctly sized now* Still a work in progressGmObjectFrame Parent and Mask now use ResourceMenu* Fixed up sizing a little* Still a work in progressListener actionPerformed shortened a little by making stringToRes method* Consider extracting to another class* actionPerformed needs further shorteninggit svn id: https://lateralgm.svn.sourceforge.net/svnroot/lateralgm@96 8f422083 7f27 0410 bc82 93e204be8cd2,extract,0,0,0,0,0.375,0.5,0.333333333,0.333333333,0,0,0,0,0,0,0.25,0.166666667,0,0.166666667,0.076923077,0,0.076923077,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coded most of the Popup Menu for ResNode (in Listener)* Extracted some methods for Listener.actionPerformed delegation* Will need revision on Mouse handling and add/insertResource methods* copyResource still needs to be coded.Corrected some credits in READMEAdded Javadocs to ResNode.status and ResNode.kind* I get them confused a lot even though I coined the termsTemporary Tile painting in RoomEditor now uses transparency and Caching* Will need to be replaced with a TileComponent.git svn id: https://lateralgm.svn.sourceforge.net/svnroot/lateralgm@172 8f422083 7f27 0410 bc82 93e204be8cd2,extract,0,0,0,0,0.25,0,0.166666667,0.333333333,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0.102564103,0,0.102564103,0,0,0.125,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Implemented Shift and Lock and cleaned up from last 2 commitsRemoved commented updateInstance code* Refer to r221 or r222 if neededExtracted different mouse parts to methodsRemoved extra repaint() call in mouseEditRemoved WIP text from Object tabDowngraded cursorInstance to InstanceComponent cursorICSwapped ID and Object in RoomFrame Status bar* Opposite of GM but more logical this wayRemoved EDIT_MODE editInstancesObject editInstancesDeleteUnderlying* Too hard to keep up to date just used swing directlyAdded Fixme tag for Object Tab (I ll probably take this up)git svn id: https://lateralgm.svn.sourceforge.net/svnroot/lateralgm@223 8f422083 7f27 0410 bc82 93e204be8cd2,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fixed readSettings method length to be within Checkstyle limits* Extracted a readSettingsIncludes methodgit svn id: https://lateralgm.svn.sourceforge.net/svnroot/lateralgm/LateralGM/branches/versioning@411 8f422083 7f27 0410 bc82 93e204be8cd2,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extracted file handling methods from Listener to new FileChooser class. Modularized readers. Added support for plugging in FileView modules. Next revision will modularize the writers so translators might wish to wait until then to update strings.git svn id: https://lateralgm.svn.sourceforge.net/svnroot/lateralgm/LateralGM/trunk@525 8f422083 7f27 0410 bc82 93e204be8cd2,extract,0,0,0.5,0.5,0.125,0,0.166666667,0,0,0,0,0,0,0,0,0.166666667,0,0.166666667,0.025641026,0,0.025641026,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extracted jump method useful to force jump on PlatformerEntity (forexample as response on collision with enemy),extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extract the writeObject method from writeExtras,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fixed 87 support for truststore with multi pems.Extracted a method to read certificates bag use it inDirectoryTrustAnchorStore.,extract,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.025641026,0,0.025641026,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
